name,online_order,book_table,RATE OUT OF 5,votes,approx_cost(for two people),listed_in(type),rate
Spice 9,No,No,3.4/5,8,300,Dining,3.4
Coffee Shopee,No,No,3.4/5,0,250,Dining,3.4
Naveen Kabab & Biriyani Mane,No,No,3.2/5,9,300,Dining,3.2
Katriguppe Donne Biryani,No,No,3.2/5,4,300,Dining,3.2
Hari Super Sandwich,No,No,3.2/5,0,200,Dining,3.2
Atithi Point Ande Ka Funda,No,No,3.1/5,29,150,Dining,3.1
Just Bake,No,No,3.4/5,8,400,Dining,3.4
Dharwad Line Bazaar Mishra Pedha,No,No,3.4/5,0,150,Dining,3.4
Cake Bite,No,No,3.4/5,0,300,Dining,3.4
Aarush's Food Plaza,No,No,3.4/5,0,200,Dining,3.4
Wood Stove,No,No,3.4/5,0,150,Dining,3.4
Kulfi & More,No,No,3.4/5,0,150,Dining,3.4
Kannadigas Karavali,No,No,3.4/5,0,250,Dining,3.4
K27 - The Pub,No,No,3.1/5,30,900,Dining,3.1
Bengaluru Coffee House,Yes,No,4.1/5,201,300,Dining,4.1
New Mangalore Lunch Home,No,No,3.3/5,7,200,Dining,3.3
Coffee Bytes,No,No,3.1/5,6,100,Dining,3.1
Parjanya Chat Zone,No,No,3.3/5,17,200,Dining,3.3
Kwality Wall's Swirl's Happiness Station,No,No,2.9/5,25,200,Dining,2.9
Soms Kitchen & Bakes,No,No,2.9/5,0,400,Dining,2.9
Banashankari Nati Style,No,No,2.9/5,0,350,Dining,2.9
Ruchi Maayaka,No,No,3.3/5,8,100,Dining,3.3
Mohitesh Hut Roll,No,No,3.3/5,0,150,Dining,3.3
Sri Basaveshwar Jolada Rotti Oota,No,No,3.4/5,0,150,Dining,3.4
Roll Magic Fast Food,No,No,3.4/5,0,200,Dining,3.4
Foodlieious Multi Cuisine,No,No,3.4/5,0,100,Dining,3.4
Thanishka Nati And Karavali Style,No,No,3.1/5,0,400,Dining,3.1
Swathi Cool Point,No,No,4.1/5,0,200,Dining,4.1
Kaumudis Juoice,No,No,3.3/5,0,150,Dining,3.3
Amma - Manae,No,No,3.1/5,0,400,Dining,3.1
Sri Sai Tiffannies,No,No,3.3/5,0,150,Dining,3.3
Hotel Andhra Speices,No,No,2.9/5,0,250,Dining,2.9
Sri Murari Family Restaurant,No,No,2.9/5,0,250,Dining,2.9
Aramane Donne Biriyani,No,No,2.9/5,0,150,Dining,2.9
Darkolates,No,No,3.3/5,0,200,Dining,3.3
Swaada Healthy Kitchen,No,No,3.3/5,0,350,Dining,3.3
Gawdaru Mane Beriyani,No,No,3.3/5,0,300,Dining,3.3
Melting Melodies,No,No,3.3/5,0,100,Dining,3.3
New Indraprasta,No,No,3.3/5,0,150,Dining,3.3
Anna Kuteera,Yes,No,4.0/5,771,450,Dining,4.0
Darbar,No,No,3.0/5,98,800,Dining,3.0
Vijayalakshmi,Yes,No,3.9/5,47,200,Dining,3.9
